class,uid,assigned_type,assigned_key,call_offset,UID,Name,Nationality,Custom,Male,Twitter,LastWin,PolePreviousSeason,ShootoutWinner
DRIVER_c,1083,,1083,0xBD1C,1083,S_DRIVER_AJ_ALMENDINGER,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,AJDinger,129106177,False,False
DRIVER_c,1084,,1084,0xBD43,1084,S_DRIVER_A_ALMIROLA,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,aric_almirola,129106177,False,False
DRIVER_c,1085,,1085,0xBD6A,1085,S_DRIVER_M_AMBROSE,"NATIONALITY_c(2026, S_XG_NATIONALITY_AUSTRALIAN, S_XG_COUNTRY_AUSTRALIA, 2027)",False,True,MarcosAmbrose,129106177,True,False
DRIVER_c,1086,,1086,0xBD91,1086,S_DRIVER_J_ANDRETTI,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1087,,1087,0xBDB8,1087,S_DRIVER_B_ASH,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1088,,1088,0xBDDF,1088,S_DRIVER_D_BEAN,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1089,,1089,0xBE06,1089,S_DRIVER_N_BENNING,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1090,,1090,0xBE2D,1090,S_DRIVER_G_BIFFLE,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,gbiffle,131727617,False,False
DRIVER_c,1091,,1091,0xBE54,1091,S_DRIVER_D_BLANEY,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,BuckeyeBullet10,129106177,False,False
DRIVER_c,1092,,1092,0xBE7B,1092,S_DRIVER_C_BOWYER,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,ClintBowyer,131727617,False,False
DRIVER_c,1093,,1093,0xBEA2,1093,S_DRIVER_T_BOYS,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1094,,1094,0xBEC9,1094,S_DRIVER_J_BURTON,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,RCR31JeffBurton,129106177,False,False
DRIVER_c,1095,,1095,0xBEF0,1095,S_DRIVER_K_BUSCH_01,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,kurtbusch,131793153,True,True
DRIVER_c,1096,,1096,0xBF17,1096,S_DRIVER_K_BUSCH_02,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,kylebusch,131793153,True,True
DRIVER_c,1097,,1097,0xBF3E,1097,S_DRIVER_P_CARPENTIER,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1098,,1098,0xBF65,1098,S_DRIVER_T_CHRISTOPHER,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1099,,1099,0xBF8C,1099,S_DRIVER_D_COPE,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1100,,1100,0xBFB3,1100,S_DRIVER_D_EARNHARDT_JR,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,DaleJr,129106177,True,True
DRIVER_c,1101,,1101,0xBFDA,1101,S_DRIVER_C_EDWARDS,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,131793153,True,False
DRIVER_c,1102,,1102,0xC001,1102,S_DRIVER_B_ELLIOT,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1103,,1103,0xC028,1103,S_DRIVER_M_GARVEY,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,,129106177,False,False
DRIVER_c,1104,,1104,0xC04F,1104,S_DRIVER_D_GILLILAND,"NATIONALITY_c(1727, S_XG_NATIONALITY_AMERICAN, S_XG_COUNTRY_USA, 1948)",False,True,DavidGilliland,129106177,False,False
