class,uid,assigned_type,assigned_key,call_offset,UID,NAME,MANUFACTURER,Twitter
RACETEAM_c,1325,,1325,0xD58B,1325,S_TEAM_RPM_01,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",RPMotorsports
RACETEAM_c,1326,,1326,0xD5A3,1326,S_TEAM_JTGDR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",NASCAR47
RACETEAM_c,1327,,1327,0xD5BB,1327,S_TEAM_FRM,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",FrontRowNASCAR
RACETEAM_c,1331,,1331,0xD5D3,1331,S_TEAM_RFR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",roushfenway
RACETEAM_c,1333,,1333,0xD5EB,1333,S_TEAM_RCR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",RCRracing
RACETEAM_c,1335,,1335,0xD603,1335,S_TEAM_JGR,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",joegibbsracing
RACETEAM_c,1336,,1336,0xD61B,1336,S_TEAM_PR_01,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",penskeracing
RACETEAM_c,1339,,1339,0xD633,1339,S_TEAM_HOFR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,1340,,1340,0xD64B,1340,S_TEAM_HM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",TeamHendrick
RACETEAM_c,1341,,1341,0xD663,1341,S_TEAM_WBR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",woodbrothers21
RACETEAM_c,1342,,1342,0xD67B,1342,S_TEAM_HSM,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",
RACETEAM_c,1343,,1343,0xD693,1343,S_TEAM_RGM,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,1344,,1344,0xD6AB,1344,S_TEAM_CSR,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",
RACETEAM_c,1345,,1345,0xD6C3,1345,S_TEAM_TRGM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,1347,,1347,0xD6DB,1347,S_TEAM_TBR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",TBR_Racing
RACETEAM_c,1349,,1349,0xD6F3,1349,S_TEAM_EGR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",EGRTeams
