class,uid,assigned_type,assigned_key,call_offset,UID,ScriptName,BaseColour,Name,Driver,DefaultLocked,Custom,Package,World,Rookie,Season,InSeasonPass,Date,UnlockCodes,BaseLayerID
LIVERIE_c,12602,,12602,0x129BB,12602,TELEMETRYCHEVROLET,"BaseColour_c(0, 0, 180)",S_LIV_PRIMARY,"DRIVER_c(12601, S_DRIVER_TITLE, None, True, True, , 129106177, False, False)",False,False,DLCPACKAGE_c(7581),None,False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",False,131858689,,-1
LIVERIE_c,12603,,12603,0x12A03,12603,TELEMETRYDODGE,"BaseColour_c(0, 0, 180)",S_LIV_PRIMARY,"DRIVER_c(12608, S_DRIVER_TITLE, None, True, True, , 129106177, False, False)",False,False,DLCPACKAGE_c(7581),None,False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",False,131858689,,-1
LIVERIE_c,12604,,12604,0x12A4B,12604,TELEMETRYFORD,"BaseColour_c(0, 0, 180)",S_LIV_PRIMARY,"DRIVER_c(12609, S_DRIVER_TITLE, None, True, True, , 129106177, False, False)",False,False,DLCPACKAGE_c(7581),None,False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",False,131858689,,-1
LIVERIE_c,12605,,12605,0x12A93,12605,TELEMETRYTOYOTA,"BaseColour_c(0, 0, 180)",S_LIV_PRIMARY,"DRIVER_c(12610, S_DRIVER_TITLE, None, True, True, , 129106177, False, False)",False,False,DLCPACKAGE_c(7581),None,False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",False,131858689,,-1
LIVERIE_c,18769,,18769,0x12ADB,18769,DLC_LIV_02_KESELOWSKI_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(1115, S_DRIVER_B_KESELOWSKI, None, False, True, keselowski, 131793153, True, False)",False,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",False,131924504,,-1
LIVERIE_c,18770,,18770,0x12B23,18770,DLC_LIV_10_PATRICK_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(5758, S_DRIVER_D_PATRICK, None, False, False, DanicaPatrick, 129106177, True, False)",False,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",False,131924504,,-1
LIVERIE_c,18771,,18771,0x12B6B,18771,DLC_LIV_11_HAMLIN_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(1107, S_DRIVER_D_HAMLIN, None, False, True, dennyhamlin, 131793153, True, True)",False,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",False,131924504,,-1
LIVERIE_c,18773,,18773,0x12BB3,18773,DLC_LIV_13_MEARS_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(1124, S_DRIVER_C_MEARS, None, False, True, CaseyMears13, 129106177, False, False)",True,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",False,131924504,,-1
LIVERIE_c,18774,,18774,0x12BFB,18774,DLC_LIV_14_STEWART_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(1136, S_DRIVER_T_STEWART, None, False, True, tonystewart, 131793153, False, True)",False,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",False,131924504,,-1
LIVERIE_c,18775,,18775,0x12C43,18775,DLC_LIV_15_BOWYER_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(1092, S_DRIVER_C_BOWYER, None, False, True, ClintBowyer, 131727617, False, False)",False,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",False,131924504,,-1
LIVERIE_c,18776,,18776,0x12C8B,18776,DLC_LIV_16_BIFFLE_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(1090, S_DRIVER_G_BIFFLE, None, False, True, gbiffle, 131727617, False, False)",False,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",False,131924504,,-1
LIVERIE_c,18778,,18778,0x12CD3,18778,DLC_LIV_18_BUSCH_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(1096, S_DRIVER_K_BUSCH_02, None, False, True, kylebusch, 131793153, True, True)",False,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",False,131924504,,-1
LIVERIE_c,18779,,18779,0x12D1B,18779,DLC_LIV_1_MCMURRAY_2013,"BaseColour_c(106, 181, 0)",,"DRIVER_c(1121, S_DRIVER_J_MCMURRAY, None, False, True, JamieMcMurray, 131727617, True, False)",False,False,DLCPACKAGE_c(7581),"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",False,"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",False,131924504,,-1
